Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
1,Entry Long,long,2020-01-02 22:00,7218.0,1,117.10,1.62,117.10,0.12,179.70,2.49,24.50,0.34
1,Exit Long,Close entry(s) order long,2020-01-04 04:00,7335.1,1,117.10,1.62,117.10,0.12,179.70,2.49,24.50,0.34
2,Entry Long,long,2020-01-04 13:00,7343.8,1,15.90,0.22,133.00,0.02,146.20,1.99,23.10,0.31
2,Exit Long,Close entry(s) order long,2020-01-05 16:00,7359.7,1,15.90,0.22,133.00,0.02,146.20,1.99,23.10,0.31
3,Entry Long,long,2020-01-05 19:00,7548.9,1,533.70,7.07,666.70,0.53,909.10,12.04,58.10,0.77
3,Exit Long,Close entry(s) order long,2020-01-08 10:00,8082.6,1,533.70,7.07,666.70,0.53,909.10,12.04,58.10,0.77
4,Entry Long,long,2020-01-10 07:00,7979.2,1,75.60,0.95,742.30,0.08,276.10,3.46,64.40,0.81
4,Exit Long,Close entry(s) order long,2020-01-11 07:00,8054.8,1,75.60,0.95,742.30,0.08,276.10,3.46,64.40,0.81
5,Entry Long,long,2020-01-12 01:00,8138.5,1,-27.00,-0.33,715.30,-0.03,28.70,0.35,39.50,0.49
5,Exit Long,Close entry(s) order long,2020-01-12 04:00,8111.5,1,-27.00,-0.33,715.30,-0.03,28.70,0.35,39.50,0.49
6,Entry Long,long,2020-01-12 07:00,8139.7,1,-44.30,-0.54,671.00,-0.04,58.60,0.72,63.00,0.77
6,Exit Long,Close entry(s) order long,2020-01-12 22:00,8095.4,1,-44.30,-0.54,671.00,-0.04,58.60,0.72,63.00,0.77
7,Entry Long,long,2020-01-13 16:00,8107.8,1,532.90,6.57,1203.90,0.53,792.20,9.77,0,0
7,Exit Long,Close entry(s) order long,2020-01-15 01:00,8640.7,1,532.90,6.57,1203.90,0.53,792.20,9.77,0,0
8,Entry Long,long,2020-01-15 10:00,8795.3,1,-93.30,-1.06,1110.60,-0.09,76.90,0.87,201.60,2.29
8,Exit Long,Close entry(s) order long,2020-01-15 22:00,8702.0,1,-93.30,-1.06,1110.60,-0.09,76.90,0.87,201.60,2.29
9,Entry Long,long,2020-01-16 13:00,8745.2,1,168.30,1.92,1278.90,0.17,285.00,3.26,71.30,0.82
9,Exit Long,Close entry(s) order long,2020-01-17 16:00,8913.5,1,168.30,1.92,1278.90,0.17,285.00,3.26,71.30,0.82
