Trade #,Type,Signal,Date/Time,Price USDT,Contracts,Profit USDT,Profit %,Cum. Profit USDT,Cum. Profit %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %
218,Exit Long,Open,,,,,,,,,,,
218,Entry Long,Long,2024-02-12 04:00,47905.0,,,,,,,,,
217,Exit Long,Exit,2024-02-07 01:00,42941.6,0.258739,-19.25,-0.17,10310.69,-0.17,145.64,1.31,207.25,1.86
217,Entry Long,Long,2024-02-03 01:00,43016.0,0.258739,-19.25,-0.17,10310.69,-0.17,145.64,1.31,207.25,1.86
216,Exit Long,Exit,2024-02-02 01:00,43016.6,0.258735,18.97,0.17,10329.94,0.17,206.73,1.86,273.35,2.46
216,Entry Long,Long,2024-01-30 16:00,42943.3,0.258735,18.97,0.17,10329.94,0.17,206.73,1.86,273.35,2.46
215,Exit Long,ExitSL=true,2024-01-12 16:00,42785.2,0.259663,-899.32,-7.49,10310.97,-7.49,70.19,0.58,1248.62,10.4
215,Entry Long,Long,2024-01-11 13:00,46248.6,0.259663,-899.32,-7.49,10310.97,-7.49,70.19,0.58,1248.62,10.4
214,Exit Long,Exit,2024-01-11 01:00,46275.1,0.259541,78.41,0.66,11210.29,0.66,444.67,3.73,429.88,3.6
214,Entry Long,Long,2024-01-09 19:00,45973.0,0.259541,78.41,0.66,11210.29,0.66,444.67,3.73,429.88,3.6
213,Exit Long,Exit,2024-01-09 16:00,46112.6,0.258755,624.09,5.52,11131.88,5.52,1104.19,9.76,133.83,1.18
213,Entry Long,Long,2024-01-05 22:00,43700.7,0.258755,624.09,5.52,11131.88,5.52,1104.19,9.76,133.83,1.18
212,Exit Long,Exit,2024-01-04 19:00,43513.6,0.259921,-49.28,-0.43,10507.79,-0.43,269.88,2.38,801.39,7.05
212,Entry Long,Long,2024-01-03 04:00,43703.2,0.259921,-49.28,-0.43,10507.79,-0.43,269.88,2.38,801.39,7.05
211,Exit Long,Exit,2024-01-02 10:00,44968.2,0.252557,690.24,6.47,10557.07,6.47,920.49,8.63,6.36,0.06
211,Entry Long,Long,2023-12-31 22:00,42235.2,0.252557,690.24,6.47,10557.07,6.47,920.49,8.63,6.36,0.06
210,Exit Long,Exit,2023-12-31 16:00,42278.8,0.252296,-95.14,-0.88,9866.83,-0.88,112.25,1.04,341.05,3.17
210,Entry Long,Long,2023-12-28 07:00,42655.9,0.252296,-95.14,-0.88,9866.83,-0.88,112.25,1.04,341.05,3.17
209,Exit Long,Exit,2023-12-27 22:00,43220.4,0.248977,-103.55,-0.95,9961.98,-0.95,100.71,0.93,502.34,4.62
209,Entry Long,Long,2023-12-22 07:00,43636.3,0.248977,-103.55,-0.95,9961.98,-0.95,100.71,0.93,502.34,4.62
208,Exit Long,Exit,2023-12-22 04:00,43753.4,0.248338,35.79,0.33,10065.52,0.33,55.03,0.51,37.55,0.35
208,Entry Long,Long,2023-12-22 01:00,43609.3,0.248338,35.79,0.33,10065.52,0.33,55.03,0.51,37.55,0.35
207,Exit Long,Exit,2023-12-19 13:00,42231.5,0.256438,97.68,0.91,10029.74,0.91,160.66,1.5,10.15,0.09
207,Entry Long,Long,2023-12-19 10:00,41850.6,0.256438,97.68,0.91,10029.74,0.91,160.66,1.5,10.15,0.09
206,Exit Long,Exit,2023-12-19 07:00,42369.3,0.253298,-55.90,-0.52,9932.06,-0.52,227.18,2.11,516.40,4.79
206,Entry Long,Long,2023-12-14 22:00,42590.0,0.253298,-55.90,-0.52,9932.06,-0.52,227.18,2.11,516.40,4.79
205,Exit Long,Exit,2023-12-14 07:00,42654.4,0.252907,355.44,3.41,9987.96,3.41,565.75,5.42,172.48,1.65
205,Entry Long,Long,2023-12-11 16:00,41249.0,0.252907,355.44,3.41,9987.96,3.41,565.75,5.42,172.48,1.65
204,Exit Long,ExitSL=true,2023-12-11 13:00,40861.6,0.255314,-727.95,-6.52,9632.53,-6.52,88.21,0.79,891.15,7.98
204,Entry Long,Long,2023-12-09 16:00,43712.8,0.255314,-727.95,-6.52,9632.53,-6.52,88.21,0.79,891.15,7.98
203,Exit Long,Exit,2023-12-09 01:00,43837.1,0.25459,65.51,0.59,10360.48,0.59,284.99,2.57,191.10,1.72
